ABC-123;845;19;kártya
DEF-456;1320;27;készpénz
GHI-789;560;12;utalás
ABC-123;910;20;kártya
JKL-234;2400;46;csekk
MNO-567;915;20;kártya
DEF-456;1250;26;készpénz
PQR-891;3010;60;készpénz
STU-345;760;16;utalás
VWX-678;1845;38;csekk
ABC-123;845;19;kártya
YZA-901;420;10;kártya
BCD-234;5120;101;készpénz
EFG-567;980;21;utalás
HIJ-890;2750;54;csekk
DEF-456;1320;27;készpénz
KLM-135;640;14;kártya
NOP-246;3600;72;készpénz
QRS-357;1500;32;utalás
TUV-468;890;19;csekk
WXY-579;2220;45;kártya
ABC-123;910;20;kártya
ZAB-680;1180;25;készpénz
CDE-791;540;11;utalás
FGH-802;4100;83;csekk
IJK-913;725;15;kártya
LMN-024;1980;41;készpénz
OPQ-135;660;14;utalás
RST-246;2890;58;csekk
DEF-456;1250;26;készpénz
UVW-357;930;20;kártya
XYZ-468;4700;94;készpénz
ABC-579;820;18;utalás
JKL-234;2400;46;csekk
GHI-791;2550;50;kártya
JKL-802;610;13;készpénz
MNO-567;915;20;kártya
PQR-891;3010;60;készpénz
STU-345;760;16;utalás
ABC-123;845;19;kártya
DEF-456;1320;27;készpénz
GHI-789;560;12;utalás
ABC-123;910;20;kártya
JKL-234;2400;46;csekk
MNO-567;915;20;kártya
DEF-456;1250;26;készpénz
PQR-891;3010;60;készpénz
STU-345;760;16;utalás
VWX-678;1845;38;csekk
ABC-123;845;19;kártya
YZA-901;420;10;kártya
BCD-234;5120;101;készpénz
EFG-567;980;21;utalás
HIJ-890;2750;54;csekk
DEF-456;1320;27;készpénz
KLM-135;640;14;kártya
NOP-246;3600;72;készpénz
QRS-357;1500;32;utalás
TUV-468;890;19;csekk
WXY-579;2220;45;kártya
ABC-123;910;20;kártya
ZAB-680;1180;25;készpénz
CDE-791;540;11;utalás
FGH-802;4100;83;csekk
IJK-913;725;15;kártya
LMN-024;1980;41;készpénz
OPQ-135;660;14;utalás
RST-246;2890;58;csekk
DEF-456;1250;26;készpénz
UVW-357;930;20;kártya
XYZ-468;4700;94;készpénz
ABC-579;820;18;utalás
JKL-234;2400;46;csekk
GHI-791;2550;50;kártya
JKL-802;610;13;készpénz
MNO-567;915;20;kártya
PQR-891;3010;60;készpénz
STU-345;760;16;utalás
ABC-123;845;19;kártya
DEF-456;1320;27;készpénz
GHI-789;560;12;utalás
ABC-123;910;20;kártya
JKL-234;2400;46;csekk
MNO-567;915;20;kártya
DEF-456;1250;26;készpénz
PQR-891;3010;60;készpénz
STU-345;760;16;utalás
VWX-678;1845;38;csekk
ABC-123;845;19;kártya
YZA-901;420;10;kártya
BCD-234;5120;101;készpénz
EFG-567;980;21;utalás
HIJ-890;2750;54;csekk
DEF-456;1320;27;készpénz
KLM-135;640;14;kártya
NOP-246;3600;72;készpénz
QRS-357;1500;32;utalás
TUV-468;890;19;csekk
WXY-579;2220;45;kártya
ABC-123;910;20;kártya
ZAB-680;1180;25;készpénz
CDE-791;540;11;utalás
FGH-802;4100;83;csekk
